条目ID,登记名称,目录名称,目录状态,卷,部,目录分类,条目类型,研究深度,登记状态,证据截止日,Jev实际模型,Jev推理版本,Jev示例版本,运行时间UTC,摘要SHA256,Mapping文件,Jev原始结果文件,四气选择,四气选择置信度,四气_寒_概率,四气_凉_概率,四气_平_概率,四气_温_概率,四气_热_概率,五味_酸_Noul得分,五味_苦_Noul得分,五味_甘_Noul得分,五味_辛_Noul得分,五味_咸_Noul得分,归经_心经_Noul得分,归经_肝经_Noul得分,归经_脾经_Noul得分,归经_肺经_Noul得分,归经_肾经_Noul得分,心经_主方向选择,心经_方向选择置信度,心经_阴-_概率,心经_阴+_概率,心经_阳-_概率,心经_阳+_概率,肝经_主方向选择,肝经_方向选择置信度,肝经_阴-_概率,肝经_阴+_概率,肝经_阳-_概率,肝经_阳+_概率,脾经_主方向选择,脾经_方向选择置信度,脾经_阴-_概率,脾经_阴+_概率,脾经_阳-_概率,脾经_阳+_概率,肺经_主方向选择,肺经_方向选择置信度,肺经_阴-_概率,肺经_阴+_概率,肺经_阳-_概率,肺经_阳+_概率,肾经_主方向选择,肾经_方向选择置信度,肾经_阴-_概率,肾经_阴+_概率,肾经_阳-_概率,肾经_阳+_概率
bottled-unsweetened-tea,无糖瓶装茶,无糖瓶装茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:13:01.048258+00:00,fbcafb68fd65cfbf7f7f2a5f080bc0dad7064feda829ea4d5933f86107a0fa9a,references/entries/bottled-unsweetened-tea/mapping.md,qa/jev-tea-batch/raw/bottled-unsweetened-tea.json,寒,0.49,0.59,0.14,0.27,0,0,0.06,0.65,0.07,0.08,0.04,0.07,0.1,0.08,0.14,0.07,阳-,0.9,0.06,0.01,0.92,0.01,阳-,0.81,0.13,0.01,0.86,0,阴-,0.44,0.59,0.01,0.35,0.05,阳-,0.82,0.1,0.02,0.87,0.01,阳-,0.43,0.38,0.04,0.57,0.01
cold-brew-tea,冷泡茶,冷泡茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:39.798769+00:00,fc79e81156fb59d28e57f3d63abadd1f8fd2aa3ad2d79033dbf2970b7de9c467,references/entries/cold-brew-tea/mapping.md,qa/jev-tea-coffee-batch/raw/cold-brew-tea.json,平,0.94,0.01,0.04,0.95,0,0,0.06,0.2,0.1,0.09,0.04,0.06,0.06,0.06,0.08,0.05,阳-,0.59,0.19,0.06,0.7,0.05,阳-,0.58,0.27,0.02,0.69,0.02,阴-,0.45,0.59,0.08,0.18,0.15,阳-,0.29,0.29,0.22,0.47000000000000003,0.02,阴-,0.36,0.52,0.12,0.33,0.03
sparkling-tea,气泡茶,气泡茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:40.125611+00:00,1b606c8cb85e0af77b8d5f0ca6a717360b0db6ea0f912bd93e453cb6e4133048,references/entries/sparkling-tea/mapping.md,qa/jev-tea-coffee-batch/raw/sparkling-tea.json,平,0.99,0,0.01,0.99,0,0,0.13,0.14,0.1,0.07,0.04,0.05,0.05,0.05,0.06,0.04,阳-,0.46,0.25,0.04,0.58,0.13,阳-,0.51,0.31,0.02,0.64,0.03,阴-,0.42,0.57,0.05,0.11,0.27,阳-,0.29,0.34,0.15,0.45999999999999996,0.05,阴-,0.41,0.56,0.12,0.25,0.07
espresso,意式浓缩咖啡,意式浓缩咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:40.865814+00:00,2289b05c022cc50d9a60ab2c655b9f0f7d608dd6a03e838f4b0effdc1424f896,references/entries/espresso/mapping.md,qa/jev-tea-coffee-batch/raw/espresso.json,平,0.92,0,0,0.94,0.04,0.02,0.05,0.25,0.06,0.13,0.04,0.13,0.06,0.06,0.06,0.06,阳+,0.66,0.05,0,0.2,0.75,阳-,0.26,0.23,0.01,0.45,0.31,阳+,0.28,0.37,0.01,0.16,0.46,阳+,0.22,0.27,0.02,0.29,0.42,阴-,0.24,0.43,0.02,0.21,0.34
americano,美式咖啡,美式咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:41.291075+00:00,9c1809b2d822a336c38c335c7a2f1f0c25b701f8992c9490d5159a23c72222cd,references/entries/americano/mapping.md,qa/jev-tea-coffee-batch/raw/americano.json,平,0.94,0.01,0.01,0.94,0.03,0.01,0.05,0.26,0.06,0.11,0.04,0.11,0.06,0.05,0.06,0.05,阳+,0.56,0.07,0.01,0.26,0.66,阳-,0.28,0.3,0.01,0.46,0.23,阴-,0.19,0.39,0.01,0.21,0.39,阴-,0.15,0.36,0.03,0.3,0.31,阴-,0.34,0.5,0.02,0.2,0.28
hand-pour-coffee,手冲咖啡,手冲咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:41.676026+00:00,53595cdda7a651c6429c02bb4fac8b74a4803abeb5b3f3789d7f0a155ed85247,references/entries/hand-pour-coffee/mapping.md,qa/jev-tea-coffee-batch/raw/hand-pour-coffee.json,平,0.92,0,0.01,0.94,0.04,0.01,0.06,0.3,0.06,0.11,0.04,0.14,0.06,0.06,0.07,0.06,阳+,0.65,0.07,0.01,0.19,0.73,阳-,0.34,0.31,0.01,0.51,0.17,阴-,0.28,0.46,0.01,0.16,0.37,阳+,0.19,0.3,0.03,0.29,0.38,阴-,0.3,0.48,0.02,0.22,0.28
cold-brew-coffee,冷萃咖啡,冷萃咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:42.059615+00:00,203f80b4281a45317d47bba292a298165569232556a0d2849dccaf60cc2c0590,references/entries/cold-brew-coffee/mapping.md,qa/jev-tea-coffee-batch/raw/cold-brew-coffee.json,平,0.95,0,0.03,0.97,0,0,0.1,0.21,0.07,0.1,0.05,0.11,0.06,0.06,0.06,0.05,阳+,0.46,0.1,0.01,0.3,0.59,阳-,0.33,0.32,0.01,0.5,0.17,阴-,0.28,0.47000000000000003,0.02,0.19,0.32,阴-,0.18,0.39,0.04,0.34,0.23,阴-,0.31,0.48,0.04,0.3,0.18
nitro-cold-brew,氮气冷萃,氮气冷萃,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:42.411338+00:00,8c475b9afc6e8207f562329ce07a075006f70616edacce73ebeed676ea27c2f3,references/entries/nitro-cold-brew/mapping.md,qa/jev-tea-coffee-batch/raw/nitro-cold-brew.json,平,0.97,0,0.01,0.98,0.01,0,0.05,0.18,0.07,0.09,0.04,0.11,0.05,0.05,0.05,0.05,阳+,0.58,0.07,0.01,0.23,0.69,阳-,0.39,0.28,0.01,0.54,0.17,阴-,0.21,0.39999999999999997,0.02,0.22,0.36,阳-,0.2,0.3,0.03,0.4,0.27,阴-,0.26,0.45,0.03,0.34,0.18
latte,拿铁,拿铁,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:42.804092+00:00,f3e07050e9a5f717c476d00a08935a430ed08f6506471524d0c8c498a50eb3d5,references/entries/latte/mapping.md,qa/jev-tea-coffee-batch/raw/latte.json,平,0.95,0,0,0.96,0.03,0.01,0.05,0.18,0.18,0.1,0.05,0.1,0.05,0.06,0.06,0.05,阳+,0.65,0.05,0.02,0.19,0.74,阳-,0.4,0.22,0.02,0.55,0.2,阴-,0.12,0.34,0.24,0.09,0.33,阳-,0.15,0.26,0.08,0.37,0.29,阴-,0.17,0.38,0.14,0.25,0.23
cappuccino,卡布奇诺,卡布奇诺,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:43.181904+00:00,5972b40f56692842b6ea016dc903983b013fdbb3d9196ab4da4a82a18d46b357,references/entries/cappuccino/mapping.md,qa/jev-tea-coffee-batch/raw/cappuccino.json,平,0.88,0,0,0.91,0.08,0.01,0.05,0.19,0.16,0.1,0.04,0.11,0.05,0.05,0.05,0.05,阳+,0.68,0.04,0.01,0.19,0.76,阳-,0.34,0.23,0.02,0.51,0.24,阳+,0.17,0.28,0.24,0.1,0.38,阳+,0.13,0.25,0.06,0.33,0.36,阳+,0.15,0.34,0.07,0.23,0.36
mocha,摩卡,摩卡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:46:43.562135+00:00,1f168edc233d586bc85fae8d40d794033fe1ba7bbe458cd4bbdc121f049a6e17,references/entries/mocha/mapping.md,qa/jev-tea-coffee-batch/raw/mocha.json,平,0.95,0,0,0.96,0.03,0.01,0.05,0.19,0.24,0.08,0.04,0.09,0.05,0.05,0.05,0.05,阳+,0.64,0.07,0.01,0.19,0.73,阳-,0.33,0.27,0.02,0.49,0.22,阳+,0.19,0.38,0.14,0.09,0.39,阳-,0.19,0.24,0.05,0.39,0.32,阴-,0.17,0.37,0.08,0.25,0.3
caramel-macchiato,焦糖玛奇朵,焦糖玛奇朵,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:29.158701+00:00,9bcbedf18b64e6a2f607d531b6567178c0d225ce82b9dcc6323cb1b81af2688d,references/entries/caramel-macchiato/mapping.md,qa/jev-coffee-soda-batch/raw/caramel-macchiato.json,平,0.93,0,0,0.94,0.05,0.01,0.05,0.21,0.43,0.09,0.04,0.09,0.05,0.06,0.06,0.05,阳+,0.68,0.05,0.02,0.17,0.76,阳-,0.38,0.24,0.02,0.54,0.2,阳+,0.19,0.3,0.23,0.09,0.38,阳+,0.13,0.26,0.07,0.33,0.33999999999999997,阳+,0.13,0.3,0.1,0.25,0.35
oat-latte,燕麦拿铁,燕麦拿铁,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:29.430188+00:00,d99600b90250a767131d303b794c2ceac83139e265beba9288715cade2d66a68,references/entries/oat-latte/mapping.md,qa/jev-coffee-soda-batch/raw/oat-latte.json,平,0.97,0,0,0.98,0.02,0,0.05,0.17,0.17,0.09,0.07,0.08,0.05,0.08,0.05,0.04,阳+,0.46,0.1,0.02,0.28,0.6,阳-,0.37,0.3,0.04,0.53,0.13,阳+,0.38,0.31,0.12,0.03,0.54,阳-,0.13,0.29,0.18,0.35,0.18,阴-,0.31,0.49,0.16,0.19,0.16
coconut-latte,椰乳拿铁,椰乳拿铁,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:29.707398+00:00,ce28b19256938b9eb1ff0c4f83cf283b0cce34e50f3e643c18978f2538d8c1dd,references/entries/coconut-latte/mapping.md,qa/jev-coffee-soda-batch/raw/coconut-latte.json,平,0.99,0,0,1,0,0,0.05,0.13,0.15,0.08,0.04,0.06,0.05,0.06,0.05,0.04,阳+,0.24,0.16,0.05,0.36,0.43,阳-,0.21,0.38,0.1,0.41,0.11,阴-,0.23,0.42,0.19,0.06,0.33,阳-,0.14,0.35,0.14,0.35,0.16,阴-,0.25,0.44,0.29,0.13,0.14
instant-coffee,速溶咖啡,速溶咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:30.021910+00:00,5497d0f5bc16f9257791e1465e0d5acd6d7e8de7d61515caa0d0c15d861aaeaa,references/entries/instant-coffee/mapping.md,qa/jev-coffee-soda-batch/raw/instant-coffee.json,平,0.92,0,0,0.94,0.05,0.01,0.06,0.24,0.09,0.12,0.05,0.1,0.06,0.06,0.06,0.05,阳+,0.67,0.07,0,0.17,0.76,阳-,0.2,0.26,0.01,0.4,0.33,阳+,0.3,0.37,0.01,0.15,0.47,阳+,0.19,0.31,0.02,0.28,0.39,阳+,0.23,0.4,0.02,0.15,0.43
three-in-one-coffee,三合一咖啡,三合一咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:30.292053+00:00,71e0c9dc0ce909df7083f9822ff5359ebf136397f4ba7c6d83b7fe09de0f7bb5,references/entries/three-in-one-coffee/mapping.md,qa/jev-coffee-soda-batch/raw/three-in-one-coffee.json,平,0.94,0,0,0.95,0.04,0.01,0.05,0.21,0.41,0.15,0.05,0.08,0.07,0.08,0.06,0.06,阳+,0.56,0.12,0.01,0.2,0.67,阳-,0.23,0.26,0.01,0.43,0.3,阳+,0.3,0.39,0.08,0.06,0.47,阳+,0.27,0.3,0.03,0.22,0.45,阳+,0.26,0.4,0.02,0.14,0.44
decaf-coffee,无咖啡因咖啡,无咖啡因咖啡,正式目录,卷一,饮品部,咖啡诸品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:30.566070+00:00,9dbf254d5af4b741c260e5525097d384173a3ddab43185d74406ba2cff8a1664,references/entries/decaf-coffee/mapping.md,qa/jev-coffee-soda-batch/raw/decaf-coffee.json,平,0.96,0.01,0,0.97,0.01,0.01,0.07,0.2,0.07,0.09,0.05,0.12,0.06,0.06,0.06,0.05,阳-,0.53,0.08,0.01,0.65,0.26,阳-,0.56,0.19,0.01,0.68,0.12,阴-,0.23,0.42,0.02,0.21,0.35,阳-,0.23,0.33,0.05,0.43,0.19,阴-,0.32,0.49,0.03,0.3,0.18
cola,可乐,可乐,正式目录,卷一,饮品部,碳酸与功能饮品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:30.795359+00:00,6d765314058789a1080d2b2416b775432d34bdfd2ef071396678ee2b6061d1f2,references/entries/cola/mapping.md,qa/jev-coffee-soda-batch/raw/cola.json,平,0.93,0.02,0.03,0.95,0,0,0.33,0.06,0.5,0.06,0.05,0.07,0.05,0.07,0.05,0.05,阳+,0.21,0.19,0.03,0.37,0.41,阳-,0.33,0.41,0.02,0.49,0.08,阴-,0.37,0.54,0.09,0.13,0.24,阴-,0.26,0.45,0.14,0.33,0.08,阴-,0.46,0.6,0.1,0.23,0.07
sugar-free-cola,无糖可乐,无糖可乐,正式目录,卷一,饮品部,碳酸与功能饮品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T07:09:11.255953+00:00,f58d205f3de210b5ccca3fc6bc0c796fd9a4d3ac16a5d6bd031b548a9c06e1f5,references/entries/sugar-free-cola/mapping.md,qa/jev-ten-batch/raw/sugar-free-cola.json,平,0.86,0.02,0.09,0.89,0,0,0.35,0.07,0.33,0.05,0.04,0.07,0.05,0.08,0.05,0.05,阳+,0.25,0.13,0.02,0.4,0.45,阳-,0.37,0.36,0.03,0.53,0.08,阴-,0.46,0.59,0.05,0.15,0.21,阳-,0.19,0.37,0.12,0.39,0.12,阴-,0.45,0.59,0.15,0.21,0.05
lemon-soda,柠檬汽水,柠檬汽水,正式目录,卷一,饮品部,碳酸与功能饮品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:31.098802+00:00,fd57cf58c14aaa5c64412de5029e93351b9adc50a9491bb3279b431c9d07eb4a,references/entries/lemon-soda/mapping.md,qa/jev-coffee-soda-batch/raw/lemon-soda.json,平,0.82,0.04,0.1,0.86,0,0,0.45,0.04,0.3,0.05,0.04,0.04,0.06,0.06,0.05,0.04,阳-,0.29,0.31,0.12,0.47,0.1,阳-,0.36,0.36,0.08,0.53,0.03,阴-,0.44,0.58,0.16,0.15,0.11,阴-,0.25,0.44,0.21,0.32,0.03,阴-,0.43,0.57,0.17,0.21,0.05
soda-water,苏打水,苏打水,正式目录,卷一,饮品部,碳酸与功能饮品,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T09:30:31.361197+00:00,b4033e8bb8b5b55b76f9c82f579335bb1e9c10fee9c54e509a819eb0926ebdf5,references/entries/soda-water/mapping.md,qa/jev-coffee-soda-batch/raw/soda-water.json,平,0.99,0,0,1,0,0,0.07,0.04,0.08,0.05,0.18,0.04,0.04,0.06,0.05,0.05,阳-,0.31,0.33,0.06,0.49,0.12,阳-,0.36,0.42,0.02,0.51,0.05,阴-,0.49,0.62,0.04,0.13,0.21,阴-,0.25,0.43,0.13,0.39,0.05,阴-,0.58,0.69,0.09,0.15,0.07
